Type,Disease,Growth Stage,Fertilizer,Quantity,Frequency,Notes,Soil Type,Weather
Fruit,Healthy,Fruiting,MOP,23g,Bi-Weekly,Apply after irrigation,Not sure,Rainy season
Leaf,Healthy,Fruiting,MOP,18g,Bi-Weekly,Apply after irrigation,Not sure,Both
Leaf,Scab,Seedling,NPK Mixture,25g,Monthly,Ensure proper drainage,Clay,Dry season
Fruit,Scab,Seedling,NPK Mixture,19g,Monthly,Mix lightly into topsoil,Clay,Rainy season
Leaf,Scab,Seedling,NPK Mixture,13g,Monthly,Ensure proper drainage,Clay,Both
Leaf,Scab,Seedling,NPK Mixture,23g,Monthly,Clean fallen fruits,Loam,Dry season
Fruit,Scab,Seedling,NPK Mixture,11g,Monthly,Mix lightly into topsoil,Loam,Rainy season
Leaf,Scab,Seedling,NPK Mixture,10g,Monthly,Ensure proper drainage,Loam,Both
Fruit,Scab,Seedling,NPK Mixture,18g,Monthly,Apply after irrigation,Sandy,Dry season
Fruit,Scab,Seedling,NPK Mixture,19g,Monthly,Ensure proper drainage,Sandy,Rainy season
Fruit,Scab,Seedling,NPK Mixture,13g,Monthly,Apply after irrigation,Sandy,Both
Fruit,Scab,Seedling,NPK Mixture,11g,Monthly,Ensure proper drainage,Not sure,Dry season
Leaf,Scab,Seedling,NPK Mixture,10g,Monthly,Avoid excess watering,Not sure,Rainy season
Fruit,Scab,Seedling,NPK Mixture,22g,Monthly,Apply after irrigation,Not sure,Both
Fruit,Scab,Vegetative,NPK Mixture,23g,Bi-Weekly,Avoid excess watering,Clay,Dry season
Leaf,Scab,Vegetative,NPK Mixture,18g,Bi-Weekly,Apply after irrigation,Clay,Rainy season
Fruit,Scab,Vegetative,NPK Mixture,9g,Weekly,Clean fallen fruits,Clay,Both
Fruit,Scab,Vegetative,NPK Mixture,8g,Bi-Weekly,Apply after irrigation,Loam,Dry season
Leaf,Scab,Vegetative,NPK Mixture,19g,Bi-Weekly,Ensure proper drainage,Loam,Rainy season
Leaf,Scab,Vegetative,NPK Mixture,21g,Bi-Weekly,Ensure proper drainage,Loam,Both
Fruit,Scab,Vegetative,NPK Mixture,12g,Weekly,Ensure proper drainage,Sandy,Dry season
Leaf,Scab,Vegetative,NPK Mixture,19g,Monthly,Mix lightly into topsoil,Sandy,Rainy season
Leaf,Scab,Vegetative,NPK Mixture,9g,Monthly,Clean fallen fruits,Sandy,Both
Fruit,Scab,Vegetative,NPK Mixture,12g,Monthly,Ensure proper drainage,Not sure,Dry season
Leaf,Scab,Vegetative,NPK Mixture,21g,Bi-Weekly,Avoid excess watering,Not sure,Rainy season
Leaf,Scab,Vegetative,NPK Mixture,11g,Weekly,Clean fallen fruits,Not sure,Both
Leaf,Scab,Flowering,NPK Mixture,23g,Weekly,Clean fallen fruits,Clay,Dry season
Leaf,Scab,Flowering,NPK Mixture,10g,Monthly,Clean fallen fruits,Clay,Rainy season
Fruit,Scab,Flowering,NPK Mixture,8g,Bi-Weekly,Apply after irrigation,Clay,Both
Fruit,Scab,Flowering,NPK Mixture,24g,Weekly,Clean fallen fruits,Loam,Dry season
Fruit,Scab,Flowering,NPK Mixture,14g,Bi-Weekly,Ensure proper drainage,Loam,Rainy season
Leaf,Scab,Flowering,NPK Mixture,13g,Weekly,Clean fallen fruits,Loam,Both
Leaf,Scab,Flowering,NPK Mixture,14g,Bi-Weekly,Avoid wetting leaves,Sandy,Dry season
Fruit,Scab,Flowering,NPK Mixture,17g,Bi-Weekly,Avoid wetting leaves,Sandy,Rainy season
Fruit,Scab,Flowering,NPK Mixture,23g,Bi-Weekly,Avoid excess watering,Sandy,Both
Fruit,Scab,Flowering,NPK Mixture,9g,Bi-Weekly,Avoid wetting leaves,Not sure,Dry season
Fruit,Scab,Flowering,NPK Mixture,9g,Monthly,Apply after irrigation,Not sure,Rainy season
Leaf,Scab,Flowering,NPK Mixture,18g,Bi-Weekly,Clean fallen fruits,Not sure,Both
Leaf,Scab,Fruiting,NPK Mixture,8g,Bi-Weekly,Mix lightly into topsoil,Clay,Dry season
Leaf,Scab,Fruiting,NPK Mixture,17g,Bi-Weekly,Mix lightly into topsoil,Clay,Rainy season
Leaf,Scab,Fruiting,NPK Mixture,19g,Bi-Weekly,Ensure proper drainage,Clay,Both
Leaf,Scab,Fruiting,NPK Mixture,14g,Bi-Weekly,Ensure proper drainage,Loam,Dry season
Fruit,Scab,Fruiting,NPK Mixture,14g,Bi-Weekly,Ensure proper drainage,Loam,Rainy season
Leaf,Scab,Fruiting,NPK Mixture,14g,Bi-Weekly,Mix lightly into topsoil,Loam,Both
Leaf,Scab,Fruiting,NPK Mixture,22g,Bi-Weekly,Apply after irrigation,Sandy,Dry season
Leaf,Scab,Fruiting,NPK Mixture,25g,Bi-Weekly,Apply after irrigation,Sandy,Rainy season
Fruit,Scab,Fruiting,NPK Mixture,22g,Bi-Weekly,Apply after irrigation,Sandy,Both
Leaf,Scab,Fruiting,NPK Mixture,23g,Bi-Weekly,Avoid wetting leaves,Not sure,Dry season
Leaf,Scab,Fruiting,NPK Mixture,21g,Bi-Weekly,Avoid excess watering,Not sure,Rainy season
Fruit,Scab,Fruiting,NPK Mixture,22g,Bi-Weekly,Ensure proper drainage,Not sure,Both
Leaf,Anthracnose,Seedling,NPK Mixture,17g,Monthly,Avoid excess watering,Clay,Dry season
Leaf,Anthracnose,Seedling,NPK Mixture,16g,Monthly,Mix lightly into topsoil,Clay,Rainy season
Leaf,Anthracnose,Seedling,NPK Mixture,13g,Monthly,Avoid wetting leaves,Clay,Both
Fruit,Anthracnose,Seedling,NPK Mixture,23g,Monthly,Mix lightly into topsoil,Loam,Dry season
Leaf,Anthracnose,Seedling,NPK Mixture,22g,Monthly,Clean fallen fruits,Loam,Rainy season
Leaf,Anthracnose,Seedling,NPK Mixture,17g,Monthly,Avoid wetting leaves,Loam,Both
Leaf,Anthracnose,Seedling,NPK Mixture,13g,Monthly,Avoid excess watering,Sandy,Dry season
Leaf,Anthracnose,Seedling,NPK Mixture,24g,Monthly,Ensure proper drainage,Sandy,Rainy season
Fruit,Anthracnose,Seedling,NPK Mixture,12g,Monthly,Ensure proper drainage,Sandy,Both
Fruit,Anthracnose,Seedling,NPK Mixture,12g,Monthly,Apply after irrigation,Not sure,Dry season
Leaf,Anthracnose,Seedling,NPK Mixture,11g,Monthly,Apply after irrigation,Not sure,Rainy season
Fruit,Anthracnose,Seedling,NPK Mixture,23g,Monthly,Clean fallen fruits,Not sure,Both
Fruit,Anthracnose,Vegetative,NPK Mixture,15g,Weekly,Clean fallen fruits,Clay,Dry season
Leaf,Anthracnose,Vegetative,NPK Mixture,23g,Weekly,Ensure proper drainage,Clay,Rainy season
Leaf,Anthracnose,Vegetative,NPK Mixture,19g,Monthly,Mix lightly into topsoil,Clay,Both
Leaf,Anthracnose,Vegetative,NPK Mixture,18g,Monthly,Clean fallen fruits,Loam,Dry season
Fruit,Anthracnose,Vegetative,NPK Mixture,9g,Weekly,Apply after irrigation,Loam,Rainy season
Leaf,Anthracnose,Vegetative,NPK Mixture,17g,Monthly,Mix lightly into topsoil,Loam,Both
Leaf,Anthracnose,Vegetative,NPK Mixture,16g,Weekly,Apply after irrigation,Sandy,Dry season
Fruit,Anthracnose,Vegetative,NPK Mixture,17g,Monthly,Apply after irrigation,Sandy,Rainy season
Fruit,Anthracnose,Vegetative,NPK Mixture,15g,Weekly,Apply after irrigation,Sandy,Both
Fruit,Anthracnose,Vegetative,NPK Mixture,13g,Weekly,Ensure proper drainage,Not sure,Dry season
Leaf,Anthracnose,Vegetative,NPK Mixture,15g,Monthly,Avoid excess watering,Not sure,Rainy season
Leaf,Anthracnose,Vegetative,NPK Mixture,10g,Weekly,Avoid wetting leaves,Not sure,Both
Fruit,Anthracnose,Flowering,NPK Mixture,25g,Bi-Weekly,Apply after irrigation,Clay,Dry season
Fruit,Anthracnose,Flowering,NPK Mixture,20g,Monthly,Avoid wetting leaves,Clay,Rainy season
Leaf,Anthracnose,Flowering,NPK Mixture,13g,Monthly,Apply after irrigation,Clay,Both
Fruit,Anthracnose,Flowering,NPK Mixture,24g,Bi-Weekly,Clean fallen fruits,Loam,Dry season
Fruit,Anthracnose,Flowering,NPK Mixture,14g,Monthly,Apply after irrigation,Loam,Rainy season
Fruit,Anthracnose,Flowering,NPK Mixture,9g,Weekly,Ensure proper drainage,Loam,Both
Fruit,Anthracnose,Flowering,NPK Mixture,15g,Monthly,Clean fallen fruits,Sandy,Dry season
Leaf,Anthracnose,Flowering,NPK Mixture,20g,Monthly,Avoid excess watering,Sandy,Rainy season
Fruit,Anthracnose,Flowering,NPK Mixture,10g,Weekly,Ensure proper drainage,Sandy,Both
Leaf,Anthracnose,Flowering,NPK Mixture,12g,Weekly,Apply after irrigation,Not sure,Dry season
Fruit,Anthracnose,Flowering,NPK Mixture,9g,Monthly,Clean fallen fruits,Not sure,Rainy season
Fruit,Anthracnose,Flowering,NPK Mixture,21g,Monthly,Avoid excess watering,Not sure,Both
Fruit,Anthracnose,Fruiting,NPK Mixture,23g,Bi-Weekly,Avoid excess watering,Clay,Dry season
Fruit,Anthracnose,Fruiting,NPK Mixture,21g,Bi-Weekly,Avoid wetting leaves,Clay,Rainy season
Leaf,Anthracnose,Fruiting,NPK Mixture,23g,Bi-Weekly,Clean fallen fruits,Clay,Both
Leaf,Anthracnose,Fruiting,NPK Mixture,14g,Bi-Weekly,Mix lightly into topsoil,Loam,Dry season
Fruit,Anthracnose,Fruiting,NPK Mixture,9g,Bi-Weekly,Avoid excess watering,Loam,Rainy season
Leaf,Anthracnose,Fruiting,NPK Mixture,12g,Bi-Weekly,Apply after irrigation,Loam,Both
Leaf,Anthracnose,Fruiting,NPK Mixture,19g,Bi-Weekly,Ensure proper drainage,Sandy,Dry season
Fruit,Anthracnose,Fruiting,NPK Mixture,11g,Bi-Weekly,Ensure proper drainage,Sandy,Rainy season
Leaf,Anthracnose,Fruiting,NPK Mixture,12g,Bi-Weekly,Ensure proper drainage,Sandy,Both
Fruit,Anthracnose,Fruiting,NPK Mixture,15g,Bi-Weekly,Clean fallen fruits,Not sure,Dry season
Leaf,Anthracnose,Fruiting,NPK Mixture,15g,Bi-Weekly,Apply after irrigation,Not sure,Rainy season
Fruit,Anthracnose,Fruiting,NPK Mixture,9g,Bi-Weekly,Mix lightly into topsoil,Not sure,Both
Fruit,Soft Rot,Seedling,Organic Compost,232g,Monthly,Mix lightly into topsoil,Clay,Dry season
Leaf,Soft Rot,Seedling,Organic Compost,202g,Monthly,Ensure proper drainage,Clay,Rainy season
Leaf,Soft Rot,Seedling,Organic Compost,251g,Monthly,Apply after irrigation,Clay,Both
Leaf,Soft Rot,Seedling,Organic Compost,318g,Monthly,Ensure proper drainage,Loam,Dry season
Fruit,Soft Rot,Seedling,Organic Compost,186g,Monthly,Mix lightly into topsoil,Loam,Rainy season
Fruit,Soft Rot,Seedling,Organic Compost,262g,Monthly,Mix lightly into topsoil,Loam,Both
Fruit,Soft Rot,Seedling,Organic Compost,155g,Monthly,Clean fallen fruits,Sandy,Dry season
Fruit,Soft Rot,Seedling,Organic Compost,242g,Monthly,Clean fallen fruits,Sandy,Rainy season
Fruit,Soft Rot,Seedling,Organic Compost,201g,Monthly,Avoid excess watering,Sandy,Both
Fruit,Soft Rot,Seedling,Organic Compost,202g,Monthly,Avoid excess watering,Not sure,Dry season
Leaf,Soft Rot,Seedling,Organic Compost,313g,Monthly,Clean fallen fruits,Not sure,Rainy season
Leaf,Soft Rot,Seedling,Organic Compost,340g,Monthly,Apply after irrigation,Not sure,Both
Fruit,Soft Rot,Vegetative,Organic Compost,208g,Bi-Weekly,Avoid wetting leaves,Clay,Dry season
Leaf,Soft Rot,Vegetative,Organic Compost,202g,Monthly,Clean fallen fruits,Clay,Rainy season
Leaf,Soft Rot,Vegetative,Organic Compost,265g,Weekly,Clean fallen fruits,Clay,Both
Leaf,Soft Rot,Vegetative,Organic Compost,277g,Bi-Weekly,Ensure proper drainage,Loam,Dry season
Leaf,Soft Rot,Vegetative,Organic Compost,163g,Monthly,Ensure proper drainage,Loam,Rainy season
Fruit,Soft Rot,Vegetative,Organic Compost,214g,Bi-Weekly,Ensure proper drainage,Loam,Both
Leaf,Soft Rot,Vegetative,Organic Compost,220g,Bi-Weekly,Apply after irrigation,Sandy,Dry season
Fruit,Soft Rot,Vegetative,Organic Compost,179g,Bi-Weekly,Clean fallen fruits,Sandy,Rainy season
Leaf,Soft Rot,Vegetative,Organic Compost,309g,Bi-Weekly,Avoid excess watering,Sandy,Both
Leaf,Soft Rot,Vegetative,Organic Compost,268g,Weekly,Ensure proper drainage,Not sure,Dry season
Fruit,Soft Rot,Vegetative,Organic Compost,213g,Weekly,Mix lightly into topsoil,Not sure,Rainy season
Leaf,Soft Rot,Vegetative,Organic Compost,208g,Monthly,Avoid excess watering,Not sure,Both
Leaf,Soft Rot,Flowering,Organic Compost,253g,Weekly,Ensure proper drainage,Clay,Dry season
Leaf,Soft Rot,Flowering,Organic Compost,260g,Weekly,Avoid excess watering,Clay,Rainy season
Fruit,Soft Rot,Flowering,Organic Compost,193g,Bi-Weekly,Clean fallen fruits,Clay,Both
Fruit,Soft Rot,Flowering,Organic Compost,197g,Monthly,Avoid wetting leaves,Loam,Dry season
Fruit,Soft Rot,Flowering,Organic Compost,251g,Bi-Weekly,Mix lightly into topsoil,Loam,Rainy season
Fruit,Soft Rot,Flowering,Organic Compost,236g,Weekly,Apply after irrigation,Loam,Both
Fruit,Soft Rot,Flowering,Organic Compost,152g,Monthly,Mix lightly into topsoil,Sandy,Dry season
Fruit,Soft Rot,Flowering,Organic Compost,252g,Monthly,Avoid excess watering,Sandy,Rainy season
Fruit,Soft Rot,Flowering,Organic Compost,255g,Bi-Weekly,Avoid wetting leaves,Sandy,Both
Fruit,Soft Rot,Flowering,Organic Compost,220g,Monthly,Apply after irrigation,Not sure,Dry season
Fruit,Soft Rot,Flowering,Organic Compost,204g,Monthly,Apply after irrigation,Not sure,Rainy season
Fruit,Soft Rot,Flowering,Organic Compost,253g,Weekly,Apply after irrigation,Not sure,Both
Leaf,Soft Rot,Fruiting,Organic Compost,181g,Bi-Weekly,Apply after irrigation,Clay,Dry season
Fruit,Soft Rot,Fruiting,Organic Compost,213g,Bi-Weekly,Apply after irrigation,Clay,Rainy season
Leaf,Soft Rot,Fruiting,Organic Compost,308g,Bi-Weekly,Mix lightly into topsoil,Clay,Both
Fruit,Soft Rot,Fruiting,Organic Compost,319g,Bi-Weekly,Mix lightly into topsoil,Loam,Dry season
Fruit,Soft Rot,Fruiting,Organic Compost,176g,Bi-Weekly,Avoid excess watering,Loam,Rainy season
Leaf,Soft Rot,Fruiting,Organic Compost,213g,Bi-Weekly,Avoid wetting leaves,Loam,Both
Leaf,Soft Rot,Fruiting,Organic Compost,315g,Bi-Weekly,Ensure proper drainage,Sandy,Dry season
Leaf,Soft Rot,Fruiting,Organic Compost,314g,Bi-Weekly,Clean fallen fruits,Sandy,Rainy season
Fruit,Soft Rot,Fruiting,Organic Compost,163g,Bi-Weekly,Ensure proper drainage,Sandy,Both
Leaf,Soft Rot,Fruiting,Organic Compost,296g,Bi-Weekly,Avoid excess watering,Not sure,Dry season
Leaf,Soft Rot,Fruiting,Organic Compost,208g,Bi-Weekly,Avoid wetting leaves,Not sure,Rainy season
Fruit,Soft Rot,Fruiting,Organic Compost,228g,Bi-Weekly,Ensure proper drainage,Not sure,Both
Leaf,Styler End Rot,Seedling,Organic Compost,160g,Monthly,Avoid excess watering,Clay,Dry season
Fruit,Styler End Rot,Seedling,Organic Compost,278g,Monthly,Mix lightly into topsoil,Clay,Rainy season
Fruit,Styler End Rot,Seedling,Organic Compost,256g,Monthly,Clean fallen fruits,Clay,Both
Leaf,Styler End Rot,Seedling,Organic Compost,205g,Monthly,Avoid excess watering,Loam,Dry season
Fruit,Styler End Rot,Seedling,Organic Compost,311g,Monthly,Avoid wetting leaves,Loam,Rainy season
Leaf,Styler End Rot,Seedling,Organic Compost,194g,Monthly,Avoid excess watering,Loam,Both
Fruit,Styler End Rot,Seedling,Organic Compost,238g,Monthly,Mix lightly into topsoil,Sandy,Dry season
Fruit,Styler End Rot,Seedling,Organic Compost,217g,Monthly,Clean fallen fruits,Sandy,Rainy season
Leaf,Styler End Rot,Seedling,Organic Compost,277g,Monthly,Clean fallen fruits,Sandy,Both
Leaf,Styler End Rot,Seedling,Organic Compost,298g,Monthly,Apply after irrigation,Not sure,Dry season
Leaf,Styler End Rot,Seedling,Organic Compost,336g,Monthly,Avoid excess watering,Not sure,Rainy season
Leaf,Styler End Rot,Seedling,Organic Compost,242g,Monthly,Avoid wetting leaves,Not sure,Both
Fruit,Styler End Rot,Vegetative,Bio Fertilizer,22ml,Bi-Weekly,Apply after irrigation,Clay,Dry season
Fruit,Styler End Rot,Vegetative,NPK Mixture,17g,Bi-Weekly,Avoid excess watering,Clay,Rainy season
Leaf,Styler End Rot,Vegetative,Organic Compost,241g,Weekly,Mix lightly into topsoil,Loam,Dry season
Fruit,Styler End Rot,Vegetative,Organic Compost,290g,Bi-Weekly,Ensure proper drainage,Loam,Both
Fruit,Styler End Rot,Vegetative,Bio Fertilizer,29ml,Monthly,Avoid wetting leaves,Sandy,Dry season
Fruit,Styler End Rot,Vegetative,NPK Mixture,9g,Weekly,Mix lightly into topsoil,Sandy,Rainy season
Fruit,Styler End Rot,Vegetative,Bio Fertilizer,37ml,Monthly,Apply after irrigation,Sandy,Both
Fruit,Styler End Rot,Vegetative,TSP,21g,Weekly,Mix lightly into topsoil,Not sure,Dry season
Leaf,Styler End Rot,Vegetative,MOP,20g,Monthly,Ensure proper drainage,Not sure,Rainy season
Leaf,Styler End Rot,Vegetative,Farmyard Manure,154g,Bi-Weekly,Avoid excess watering,Not sure,Both
Leaf,Styler End Rot,Flowering,TSP,21g,Weekly,Avoid wetting leaves,Clay,Dry season
Leaf,Styler End Rot,Flowering,TSP,20g,Bi-Weekly,Clean fallen fruits,Clay,Rainy season
Leaf,Styler End Rot,Flowering,TSP,10g,Weekly,Mix lightly into topsoil,Clay,Both
Fruit,Styler End Rot,Flowering,TSP,22g,Monthly,Clean fallen fruits,Loam,Dry season
Leaf,Styler End Rot,Flowering,TSP,20g,Weekly,Avoid wetting leaves,Loam,Rainy season
Fruit,Styler End Rot,Flowering,TSP,21g,Monthly,Clean fallen fruits,Loam,Both
Leaf,Styler End Rot,Flowering,TSP,20g,Bi-Weekly,Mix lightly into topsoil,Sandy,Dry season
Fruit,Styler End Rot,Flowering,TSP,18g,Bi-Weekly,Avoid excess watering,Sandy,Rainy season
Leaf,Styler End Rot,Flowering,TSP,22g,Weekly,Avoid wetting leaves,Sandy,Both
Leaf,Styler End Rot,Flowering,TSP,13g,Weekly,Mix lightly into topsoil,Not sure,Dry season
Fruit,Styler End Rot,Flowering,TSP,12g,Monthly,Mix lightly into topsoil,Not sure,Rainy season
Leaf,Styler End Rot,Flowering,TSP,23g,Monthly,Ensure proper drainage,Not sure,Both
Leaf,Styler End Rot,Fruiting,MOP,25g,Bi-Weekly,Apply after irrigation,Clay,Dry season
Fruit,Styler End Rot,Fruiting,MOP,10g,Bi-Weekly,Apply after irrigation,Clay,Rainy season
Leaf,Styler End Rot,Fruiting,MOP,19g,Bi-Weekly,Avoid excess watering,Clay,Both
Leaf,Styler End Rot,Fruiting,MOP,25g,Bi-Weekly,Apply after irrigation,Loam,Dry season
Fruit,Styler End Rot,Fruiting,MOP,9g,Bi-Weekly,Ensure proper drainage,Loam,Rainy season
Leaf,Styler End Rot,Fruiting,MOP,16g,Bi-Weekly,Apply after irrigation,Loam,Both
Leaf,Styler End Rot,Fruiting,MOP,14g,Bi-Weekly,Apply after irrigation,Sandy,Dry season
Fruit,Styler End Rot,Fruiting,MOP,20g,Bi-Weekly,Avoid excess watering,Sandy,Rainy season
Leaf,Styler End Rot,Fruiting,MOP,24g,Bi-Weekly,Avoid excess watering,Sandy,Both
Leaf,Styler End Rot,Fruiting,MOP,24g,Bi-Weekly,Clean fallen fruits,Not sure,Dry season
Leaf,Styler End Rot,Fruiting,MOP,10g,Bi-Weekly,Mix lightly into topsoil,Not sure,Rainy season
Leaf,Styler End Rot,Fruiting,MOP,24g,Bi-Weekly,Avoid excess watering,Not sure,Both
Fruit,Rust,Seedling,NPK Mixture,24g,Monthly,Clean fallen fruits,Clay,Dry season
Fruit,Rust,Seedling,NPK Mixture,14g,Monthly,Apply after irrigation,Clay,Rainy season
Leaf,Rust,Seedling,NPK Mixture,14g,Monthly,Avoid wetting leaves,Clay,Both
Leaf,Rust,Seedling,NPK Mixture,13g,Monthly,Avoid wetting leaves,Loam,Dry season
Fruit,Rust,Seedling,NPK Mixture,17g,Monthly,Mix lightly into topsoil,Loam,Rainy season
Fruit,Rust,Seedling,NPK Mixture,10g,Monthly,Avoid excess watering,Loam,Both
Leaf,Rust,Seedling,NPK Mixture,21g,Monthly,Avoid excess watering,Sandy,Dry season
Fruit,Rust,Seedling,NPK Mixture,22g,Monthly,Clean fallen fruits,Sandy,Rainy season
Fruit,Rust,Seedling,NPK Mixture,19g,Monthly,Mix lightly into topsoil,Sandy,Both
Fruit,Rust,Seedling,NPK Mixture,12g,Monthly,Mix lightly into topsoil,Not sure,Dry season
Leaf,Rust,Seedling,NPK Mixture,11g,Monthly,Clean fallen fruits,Not sure,Rainy season
Fruit,Rust,Seedling,NPK Mixture,12g,Monthly,Apply after irrigation,Not sure,Both
Leaf,Rust,Vegetative,NPK Mixture,23g,Monthly,Apply after irrigation,Clay,Dry season
Leaf,Rust,Vegetative,NPK Mixture,20g,Weekly,Apply after irrigation,Clay,Rainy season
Leaf,Rust,Vegetative,NPK Mixture,12g,Monthly,Avoid excess watering,Clay,Both
Leaf,Rust,Vegetative,NPK Mixture,12g,Monthly,Avoid excess watering,Loam,Dry season
Fruit,Rust,Vegetative,NPK Mixture,25g,Bi-Weekly,Apply after irrigation,Loam,Rainy season
Fruit,Rust,Vegetative,NPK Mixture,24g,Weekly,Apply after irrigation,Loam,Both
Fruit,Rust,Vegetative,NPK Mixture,22g,Weekly,Clean fallen fruits,Sandy,Dry season
Fruit,Rust,Vegetative,NPK Mixture,18g,Weekly,Avoid excess watering,Sandy,Rainy season
Fruit,Rust,Vegetative,NPK Mixture,25g,Bi-Weekly,Apply after irrigation,Sandy,Both
Leaf,Rust,Vegetative,NPK Mixture,17g,Weekly,Apply after irrigation,Not sure,Dry season
Fruit,Rust,Vegetative,NPK Mixture,15g,Monthly,Apply after irrigation,Not sure,Rainy season
Leaf,Rust,Vegetative,NPK Mixture,11g,Weekly,Mix lightly into topsoil,Not sure,Both
Leaf,Rust,Flowering,NPK Mixture,10g,Weekly,Apply after irrigation,Clay,Dry season
Leaf,Rust,Flowering,NPK Mixture,8g,Monthly,Avoid excess watering,Clay,Rainy season
Leaf,Rust,Flowering,NPK Mixture,22g,Weekly,Clean fallen fruits,Clay,Both
Fruit,Rust,Flowering,NPK Mixture,16g,Weekly,Avoid wetting leaves,Loam,Dry season
Fruit,Rust,Flowering,NPK Mixture,21g,Monthly,Avoid wetting leaves,Loam,Rainy season
